word,include
tenor,1
wolf_boy,1
Rex,0
boy_wonder,0
sonny,0
begetter,0
Romeo,1
townee,0
danseur,1
countertenor,1
godfather,1
poster_boy,1
leading_man,1
sodomist,0
bondsman,1
good_ole_boy,0
beard,0
orderly,0
gitano,0
homeboy,1
young_man,0
male_sibling,0
czar,1
godson,1
tsar,1
shop_boy,1
foster-brother,1
comrade,1
flunkey,0
spokesman,1
enlisted_man,0
good_old_boy,0
lackey,0
kinsman,1
bugger,0
bondman,1
paterfamilias,1
gillie,0
shaver,0
man-child,1
mendicant,0
sod,0
male_monarch,0
patriarch,1
danseur_noble,0
groomsman,1
Prince_of_Wales,1
foster_brother,1
flunky,0
laddie,0
sonny_boy,0
sannup,0
hospital_attendant,0
jawan,0
mother's_son,0
cub,0
male_offspring,1
bass,0
macho,1
old_boy,0
basso,0
castrato,0
adult_male,0
masseur,1
baritone,1
blood_brother,1
crown_prince,1
male_child,1
sodomite,0
good_ol'_boy,0
young_buck,0
barytone,1
Levite,0
monk,1
male_parent,1
monastic,1
junior,0
friar,1
tzar,1
lad,1
