word,include
poster_girl,1
crown_princess,1
female_child,1
cleaning_lady,1
char,0
charwoman,0
gay_woman,1
college_girl,1
little_girl,1
traitress,1
comedienne,1
foster_sister,1
lesbian,1
female_offspring,1
canary,0
slavey,0
matriarch,1
prima_ballerina,1
amah,0
flibbertigibbet,0
inheritress,1
skivvy,0
intersex,0
inheritrix,0
hermaphrodite,0
usherette,0
prince_consort,0
epicene_person,0
call_girl,1
enchantress,1
foolish_woman,0
epicene,0
shop_girl,1
tribade,0
homegirl,1
danseuse,1
majorette,0
soprano,1
bondswoman,1
cleaning_woman,1
androgyne,0
co-ed,0
confidante,0
adult_female,0
hatcheck_girl,0
bondwoman,1
queen_regnant,1
masseuse,1
bondmaid,1
goddaughter,1
gitana,0
check_girl,0
enlisted_woman,0
materfamilias,1
testatrix,0
girl_Friday,0
sis,1
female_monarch,0
kinswoman,1
gynandromorph,0
newswoman,1
leading_lady,1
girl_wonder,0
drum_majorette,0
Parisienne,1
foster-sister,1
prima_donna,1
spokeswoman,1
